user_id,O_Score,C_Score,E_Score,A_Score,N_Score,Team_CPB-I-mean,Team_CPB-O-mean,Users-less-mean-A,Users-less-mean-C,Team_CPB-I-median,Team_CPB-O-median,Dpt-CPB-I-mean,Dpt_CPB-O-mean,Dpt_CPB-I-median,Dpt_CPB-O-median,Leader_CPB-I,Leader_CPB-O
IDW1211,42.0,38.0,37.0,37.0,25.0,-15.543,-19.2763363636,24,18,-16.214,-17.6846,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.392,-13.4088,
SCM3407,38.0,14.0,35.0,44.0,36.0,-15.3485423729,-19.3905016949,33,25,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.456,-16.9784,
DJS1271,37.0,10.0,11.0,28.0,22.0,-14.8289361702,-19.5358297872,20,23,-15.972,-20.4708,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-18.904,
DRF3992,24.0,37.0,30.0,38.0,22.0,-13.9629433962,-19.5735924528,25,27,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-12.1,-22.41,
ICB3167,21.0,21.0,40.0,15.0,26.0,-15.9798064516,-19.6596322581,38,22,-17.666,-17.8674,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-19.7896,
QBL1386,39.0,33.0,43.0,27.0,30.0,-14.806,-20.4461272727,20,21,-16.214,-22.3646,-15.1798119658,-19.8936598291,-16.456,-20.6184,-7.26,-21.454,
CLM1874,21.0,13.0,21.0,24.0,34.0,-15.4567741935,-19.1646451613,35,27,-16.698,-18.8722,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-12.8116,
ZBH3422,42.0,40.0,43.0,38.0,43.0,-15.1492,-21.44188,22,25,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-19.844,-25.8116,
SMC2898,44.0,40.0,34.0,36.0,39.0,-16.456,-20.3099254237,30,21,-17.908,-20.5412,-15.4025108696,-20.250498913,-16.94,-20.766,-12.584,-24.6376,
CSB3932,19.0,42.0,30.0,35.0,33.0,-13.9172830189,-19.5891018868,25,27,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-16.456,-15.9384,
TAF0640,14.0,27.0,31.0,48.0,28.0,-14.6275555556,-19.4252444444,22,21,-15.488,-21.3632,-15.1798119658,-19.8936598291,-16.456,-20.6184,-15.488,-26.5632,
PRH1717,19.0,30.0,21.0,30.0,26.0,-15.7461333333,-19.9281422222,20,18,-17.424,-20.9136,-15.1798119658,-19.8936598291,-16.456,-20.6184,-18.876,-27.5964,
ABB0167,39.0,36.0,45.0,23.0,37.0,-14.5307555556,-19.6846133333,21,22,-15.488,-21.3632,-15.1798119658,-19.8936598291,-16.456,-20.6184,-15.488,-26.5632,
FCE0695,37.0,44.0,30.0,27.0,25.0,-15.7784,-20.85376,26,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-16.388,
TPG2392,44.0,40.0,22.0,37.0,37.0,-14.113,-17.3038818182,30,24,-13.794,-15.6466,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-18.9744,
VDP0790,30.0,23.0,48.0,40.0,21.0,-14.9609777778,-18.5331466667,27,19,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-25.664,
JPH1129,42.0,18.0,16.0,37.0,30.0,-14.7465531915,-19.4111319149,21,23,-15.972,-20.4708,-14.9218758837,-19.382605813,-15.972,-18.9108,-13.552,-14.5328,
DAM3359,20.0,33.0,17.0,42.0,23.0,-15.2056666667,-21.4244333333,22,25,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-14.3012,
BJA1137,39.0,23.0,43.0,42.0,34.0,-14.6950638298,-19.3401106383,21,23,-15.972,-20.4708,-14.9218758837,-19.382605813,-15.972,-18.9108,-13.552,-14.5328,
RKH2877,50.0,40.0,38.0,18.0,27.0,-16.456,-20.4685694915,29,21,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-12.584,-24.6376,
CAS3022,10.0,17.0,34.0,32.0,26.0,-14.9295384615,-18.7528923077,8,5,-16.94,-17.126,-15.3290048309,-19.4859207729,-16.94,-19.206,-6.292,-11.2788,
RDP2116,38.0,36.0,13.0,38.0,31.0,-15.2772258065,-18.9924709677,36,28,-16.456,-18.2784,-14.9218758837,-19.382605813,-15.972,-18.9108,-24.2,-29.22,
NCT0983,41.0,20.0,22.0,23.0,27.0,-15.3451803279,-18.7025967213,37,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
AKC3739,15.0,27.0,13.0,16.0,41.0,-15.7622666667,-20.9961733333,26,22,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-6.776,-17.6664,
PDK3856,19.0,17.0,19.0,36.0,23.0,-16.4214285714,-20.5335714286,7,5,-19.118,-21.1702,-15.3290048309,-19.4859207729,-16.94,-19.206,-13.068,-25.3052,
AME1361,50.0,21.0,38.0,28.0,24.0,-14.9179555556,-19.9644711111,24,22,-15.972,-19.4308,-15.1798119658,-19.8936598291,-16.456,-20.6184,-18.876,-13.0364,
BZS1344,49.0,25.0,12.0,37.0,25.0,-15.686,-19.3199454545,24,17,-16.456,-17.7584,-14.9578338462,-19.7247212308,-15.972,-19.9508,-16.456,-23.2184,
MBS3902,41.0,17.0,41.0,43.0,35.0,-14.1904680851,-19.7504851064,25,25,-12.584,-18.3976,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
GKL0006,14.0,46.0,26.0,19.0,27.0,0,0,0,0,0,0,0,0,0,0,-10.164,-11.9396,
BRG3113,45.0,30.0,41.0,40.0,36.0,-15.9095483871,-19.4285290323,39,22,-17.666,-17.6074,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-24.6944,
CAG0502,34.0,43.0,37.0,38.0,23.0,-14.6060444444,-19.43024,23,21,-15.972,-17.8708,-15.1798119658,-19.8936598291,-16.456,-20.6184,-7.744,-8.0816,
DBC1073,19.0,24.0,34.0,20.0,20.0,-15.697,-19.5242090909,23,17,-16.456,-19.3184,-14.9578338462,-19.7247212308,-15.972,-19.9508,-16.94,-22.846,
XPW2833,17.0,21.0,36.0,23.0,32.0,-15.6211,-18.68679,22,17,-17.424,-18.3136,-15.0351142857,-20.0305742857,-16.456,-20.6184,-4.84,-14.476,
JMB2246,40.0,19.0,21.0,38.0,30.0,-14.8507333333,-20.5361933333,28,32,-14.762,-20.8818,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-21.504,
RSG0687,17.0,10.0,45.0,31.0,32.0,-16.0526666667,-20.9027333333,27,21,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-16.388,
IJC2459,43.0,27.0,18.0,19.0,25.0,-16.0257777778,-19.5743111111,25,16,-18.392,-18.6088,-15.1798119658,-19.8936598291,-16.456,-20.6184,-7.26,-13.654,
BEW1426,16.0,21.0,20.0,42.0,48.0,-16.3086956522,-18.8213043478,26,15,-18.392,-18.0888,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.812,-29.2268,
FNB1512,45.0,34.0,36.0,16.0,29.0,-15.9456,-20.2169309091,29,21,-17.424,-19.8736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
IAC3581,19.0,21.0,13.0,41.0,30.0,-13.739,-18.5489181818,26,26,-11.616,-16.2824,-14.9578338462,-19.7247212308,-15.972,-19.9508,-11.616,-11.3424,
ABL0870,41.0,15.0,45.0,35.0,22.0,-15.246,-20.5700666667,27,24,-16.698,-21.7322,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
LAE1350,42.0,28.0,11.0,21.0,33.0,-15.653,-19.4989727273,23,17,-16.456,-19.3184,-14.9578338462,-19.7247212308,-15.972,-19.9508,-16.456,-23.2184,
FQL3629,19.0,16.0,20.0,38.0,28.0,-15.8421463415,-20.8624195122,18,15,-17.424,-22.4736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-24.624,
GIS1668,44.0,33.0,18.0,50.0,21.0,-14.3313220339,-19.8118169492,29,29,-15.972,-20.4708,-15.4025108696,-20.250498913,-16.94,-20.766,-20.328,-17.1192,
MHA0667,38.0,40.0,30.0,36.0,30.0,-14.7781333333,-18.5236088889,27,20,-16.456,-17.4984,-14.9218758837,-19.382605813,-15.972,-18.9108,-11.616,-21.2224,
RML2759,47.0,42.0,17.0,41.0,29.0,-15.1492,-18.89388,34,29,-15.972,-17.3508,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.424,-20.9136,
RBO0327,44.0,36.0,20.0,40.0,34.0,0,0,0,0,0,0,-15.7991428571,-19.0809428571,-17.908,-18.4612,-19.844,-26.3316,
JCB2350,36.0,32.0,45.0,19.0,31.0,-15.6466885246,-19.7322491803,34,23,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-7.26,-12.094,
AUG2242,40.0,19.0,37.0,12.0,29.0,-14.8507333333,-20.7615266667,27,32,-14.762,-21.9218,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.36,-21.504,
BMN3207,33.0,40.0,20.0,50.0,32.0,-14.7781333333,-18.6738311111,26,23,-14.52,-17.428,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-13.184,
XGB1528,41.0,49.0,10.0,42.0,29.0,-15.8136,-19.9308581818,30,21,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
KRL0467,40.0,38.0,10.0,43.0,32.0,-15.4115789474,-20.0535789474,9,8,-16.94,-21.806,-15.3290048309,-19.4859207729,-16.94,-19.206,-18.392,-24.8488,
BJR0940,34.0,39.0,10.0,20.0,37.0,-15.1944262295,-18.6821967213,37,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-8.712,-10.4568,
BAC3730,47.0,47.0,41.0,17.0,40.0,-15.6009333333,-20.9383066667,26,23,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-6.776,-17.6664,
BHC2344,39.0,38.0,14.0,23.0,28.0,-15.5990819672,-19.6836327869,34,23,-17.424,-18.3136,-14.8882043011,-19.4707172043,-16.456,-19.0584,-7.26,-12.094,
ODW2194,39.0,40.0,21.0,41.0,29.0,-14.6813333333,-20.4585333333,28,33,-14.036,-20.6604,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
EID1076,48.0,50.0,48.0,22.0,33.0,-15.411,-19.4133545455,23,18,-16.214,-19.2446,-14.9578338462,-19.7247212308,-15.972,-19.9508,-16.94,-22.846,
EKM0863,41.0,29.0,18.0,34.0,36.0,-15.1330666667,-20.5442933333,27,24,-16.698,-21.7322,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
LQC3780,12.0,21.0,21.0,28.0,30.0,-15.8106666667,-20.9069333333,26,22,-16.94,-23.366,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-13.2612,
KKM0309,39.0,50.0,41.0,48.0,22.0,-14.9636666667,-20.3713,27,25,-16.456,-21.6584,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
BKB0853,42.0,50.0,18.0,17.0,18.0,-14.9636666667,-20.6399666667,26,25,-16.456,-22.1784,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
BHC0492,23.0,39.0,35.0,42.0,31.0,-15.3912,-20.3052355556,23,19,-16.94,-19.726,-15.1798119658,-19.8936598291,-16.456,-20.6184,-6.776,-12.4664,
LVK3180,40.0,36.0,18.0,35.0,25.0,-15.8627096774,-19.4561806452,39,23,-17.666,-17.6074,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-19.7896,
BZH1158,39.0,31.0,23.0,15.0,30.0,-14.0984516129,-19.2788,17,15,-15.488,-18.7632,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.36,-26.704,
HBC3497,36.0,37.0,38.0,18.0,26.0,-14.7061538462,-20.2447692308,6,7,-14.52,-23.148,-15.3290048309,-19.4859207729,-16.94,-19.206,-14.52,-23.668,
CMM3753,37.0,44.0,14.0,17.0,21.0,-14.3533770492,-19.4657114754,28,32,-14.52,-21.588,-14.8882043011,-19.4707172043,-16.456,-19.0584,-18.876,-21.3564,
GMC1209,34.0,32.0,47.0,40.0,31.0,-15.609,-19.2610090909,24,18,-16.456,-17.7584,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.392,-13.4088,
MCN0985,36.0,10.0,14.0,19.0,20.0,-15.4245245902,-18.7608918033,37,28,-17.424,-17.2736,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
JBH2559,39.0,37.0,16.0,22.0,24.0,-15.0362666667,-19.87344,22,18,-16.456,-21.1384,-14.9578338462,-19.7247212308,-15.972,-19.9508,-7.744,-13.2816,
PAB0879,46.0,43.0,11.0,17.0,33.0,-14.0869473684,-20.5664631579,18,19,-14.036,-21.4404,-15.0351142857,-20.0305742857,-16.456,-20.6184,-5.324,-23.4636,
ORH2010,50.0,39.0,37.0,34.0,27.0,-14.7237894737,-21.942077193,18,27,-15.972,-23.5908,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-10.9564,
IKG3154,16.0,31.0,22.0,42.0,28.0,-15.5740444444,-20.5805511111,20,18,-17.908,-21.0612,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.812,-26.1068,
MBH0476,16.0,15.0,38.0,36.0,30.0,-14.5094782609,-19.8778347826,22,25,-14.52,-20.808,-14.9578338462,-19.7247212308,-15.972,-19.9508,-18.876,-15.1164,
JAC2001,37.0,22.0,20.0,16.0,36.0,-15.386516129,-19.210316129,35,27,-16.698,-18.8722,-14.9218758837,-19.382605813,-15.972,-18.9108,-12.1,-16.69,
BKF1545,42.0,32.0,19.0,21.0,33.0,-15.488,-19.9462,19,21,-14.52,-21.588,-15.0351142857,-20.0305742857,-16.456,-20.6184,-9.68,-10.752,
JHC1809,25.0,22.0,17.0,49.0,30.0,-15.8321777778,-19.7348266667,20,18,-17.424,-20.9136,-15.1798119658,-19.8936598291,-16.456,-20.6184,-6.776,-8.8264,
JFB0961,44.0,40.0,38.0,21.0,24.0,-15.9966101695,-19.9054237288,27,20,-17.908,-21.0612,-15.4025108696,-20.250498913,-16.94,-20.766,-8.228,-20.1892,
MMJ3368,41.0,20.0,15.0,46.0,28.0,-15.3105333333,-21.4217466667,22,24,-15.972,-24.1108,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-14.3012,
SWM0188,41.0,33.0,40.0,18.0,23.0,-14.8856888889,-18.8568533333,25,22,-15.488,-16.1632,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-12.9092,
NRE1755,44.0,38.0,20.0,20.0,33.0,-15.004,-17.7984571429,9,7,-15.004,-16.2756,-15.3290048309,-19.4859207729,-16.94,-19.206,-23.232,-19.5648,
RCB2645,35.0,41.0,13.0,21.0,33.0,-15.1572666667,-19.0696733333,33,29,-15.972,-17.6108,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-23.148,
ANL3024,39.0,41.0,15.0,33.0,35.0,-14.036,-18.4404,8,6,-16.456,-16.9784,-15.3290048309,-19.4859207729,-16.94,-19.206,-6.292,-11.2788,
RCJ0557,38.0,37.0,19.0,44.0,31.0,-14.0984516129,-19.094283871,18,16,-13.068,-17.5052,-14.9218758837,-19.382605813,-15.972,-18.9108,-8.228,-12.3892,
JFB2168,35.0,44.0,38.0,16.0,31.0,-16.3969756098,-19.3321073171,24,15,-17.424,-17.2736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-9.196,-12.1644,
RMC2177,37.0,17.0,43.0,28.0,33.0,-14.8668666667,-20.62778,27,32,-14.762,-21.9218,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
SDH1556,23.0,45.0,30.0,30.0,32.0,-15.8488,-20.0550472727,30,21,-17.424,-19.3536,-15.0351142857,-20.0305742857,-16.456,-20.6184,-21.296,-24.6944,
RDE3239,33.0,34.0,17.0,42.0,33.0,-15.8783225806,-19.4022322581,39,23,-17.666,-17.6074,-14.9218758837,-19.382605813,-15.972,-18.9108,-15.488,-30.7232,
GBJ3604,42.0,38.0,40.0,42.0,34.0,-13.650440678,-18.3790915254,35,37,-13.552,-17.1328,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.908,-25.7412,
HHS3357,26.0,16.0,24.0,36.0,38.0,-15.3428,-21.5182533333,22,24,-15.972,-24.3708,-15.4025108696,-20.250498913,-16.94,-20.766,-17.908,-14.3012,
SDH2394,15.0,33.0,31.0,39.0,28.0,-15.7461333333,-21.90992,12,13,-17.908,-24.9612,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-18.9744,
BOH1751,30.0,12.0,10.0,18.0,31.0,-15.9028571429,-18.1468571429,9,6,-16.94,-16.866,-15.3290048309,-19.4859207729,-16.94,-19.206,-23.232,-19.5648,
AAV3669,28.0,17.0,27.0,16.0,21.0,-15.8303414634,-21.1378439024,17,15,-17.424,-23.5136,-15.0351142857,-20.0305742857,-16.456,-20.6184,-17.908,-26.7812,
HSA2065,42.0,39.0,50.0,37.0,24.0,-15.6493333333,-19.8177333333,20,19,-16.94,-20.766,-15.1798119658,-19.8936598291,-16.456,-20.6184,-24.2,-22.98,
CSB2910,27.0,16.0,22.0,20.0,32.0,-13.9876,-20.5243066667,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.78,-18.082,
CDL0867,47.0,38.0,21.0,22.0,34.0,-15.0604666667,-20.6261533333,26,25,-16.456,-22.1784,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-14.4488,
JTV2654,43.0,18.0,44.0,14.0,39.0,-15.3428,-19.18692,33,28,-15.972,-17.6108,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-23.148,
KJH0588,24.0,17.0,24.0,21.0,26.0,-15.1875862069,-20.1867586207,24,29,-15.246,-20.7694,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.648,-25.0872,
KOW3756,47.0,23.0,35.0,20.0,41.0,-14.52,-19.4909508197,28,31,-15.004,-21.7356,-14.8882043011,-19.4707172043,-16.456,-19.0584,-18.876,-21.3564,
RCM3458,34.0,35.0,42.0,16.0,26.0,-15.1762711864,-19.5847457627,32,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-27.308,
BJH3402,13.0,33.0,49.0,26.0,35.0,-15.1926779661,-19.5016135593,32,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.456,-16.9784,
LCW3879,40.0,14.0,21.0,42.0,30.0,-14.2213617021,-19.7709702128,25,25,-12.584,-18.3976,-14.9578338462,-19.7247212308,-15.972,-19.9508,-6.776,-25.4664,
SJT0698,44.0,36.0,23.0,37.0,29.0,-15.8429333333,-20.7867733333,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-14.52,-16.388,
FGK1026,20.0,16.0,32.0,25.0,23.0,-12.463,-18.4907,2,3,-11.374,-18.8086,-14.9255135135,-18.5635567568,-16.456,-18.0184,-8.228,-7.7092,
CTC0421,37.0,38.0,39.0,33.0,32.0,-15.2023606557,-18.5737967213,38,29,-16.94,-17.126,-14.8882043011,-19.4707172043,-16.456,-19.0584,-21.296,-28.3344,
TSO3216,42.0,16.0,35.0,14.0,29.0,-15.7353777778,-20.9533066667,19,18,-17.908,-21.5812,-14.9218758837,-19.382605813,-15.972,-18.9108,-19.844,-17.4916,
MVW3821,36.0,16.0,42.0,42.0,34.0,-14.5755409836,-19.320347541,29,31,-15.004,-20.1756,-14.8882043011,-19.4707172043,-16.456,-19.0584,-16.94,-30.646,
RND1473,43.0,36.0,38.0,14.0,28.0,-14.4051525424,-19.3672135593,31,28,-16.456,-19.0584,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-12.4664,
JKH3673,39.0,48.0,20.0,40.0,25.0,-15.4643902439,-20.7218536585,18,16,-16.94,-22.326,-15.0351142857,-20.0305742857,-16.456,-20.6184,-17.908,-26.7812,
CAF3929,42.0,50.0,20.0,12.0,27.0,-13.8442264151,-19.7924830189,24,27,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-16.456,-15.9384,
SAB2761,40.0,34.0,23.0,35.0,33.0,-15.2137333333,-18.96556,34,29,-15.972,-17.3508,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.424,-20.9136,
DAS1955,38.0,47.0,41.0,21.0,26.0,-14.458212766,-19.7546893617,25,27,-14.52,-18.988,-14.9218758837,-19.382605813,-15.972,-18.9108,-6.776,-21.8264,
JJY3112,39.0,40.0,22.0,17.0,29.0,-15.831483871,-19.5976258065,38,23,-17.424,-17.7936,-14.9218758837,-19.382605813,-15.972,-18.9108,-21.296,-24.6944,
RSS3182,41.0,39.0,20.0,22.0,27.0,-15.8392903226,-19.5580709677,38,23,-17.424,-17.7936,-14.9218758837,-19.382605813,-15.972,-18.9108,-22.264,-19.7896,
SAP2173,38.0,21.0,18.0,20.0,46.0,-14.8346,-20.6872733333,27,32,-14.762,-21.9218,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
MGM0569,41.0,45.0,43.0,36.0,20.0,-15.7703333333,-20.7733,27,22,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-31.6792,
BBM1701,42.0,36.0,16.0,23.0,27.0,-14.903862069,-19.3560965517,31,26,-16.456,-19.0584,-14.8882043011,-19.4707172043,-16.456,-19.0584,-9.68,-13.872,
HIA2415,22.0,23.0,36.0,30.0,31.0,-15.6369230769,-19.1686153846,6,5,-16.456,-22.6984,-15.3290048309,-19.4859207729,-16.94,-19.206,-18.392,-24.3288,
AAF0819,30.0,18.0,14.0,38.0,25.0,-15.9881333333,-20.8223866667,27,21,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-22.8392,
KEW1179,38.0,19.0,30.0,41.0,33.0,-14.5684,-18.50876,34,29,-16.456,-16.9784,-14.9218758837,-19.382605813,-15.972,-18.9108,-17.424,-14.1536,
CJM2961,42.0,39.0,42.0,30.0,42.0,-16.4642033898,-20.3653084746,30,21,-17.908,-20.5412,-15.4025108696,-20.250498913,-16.94,-20.766,-23.232,-25.2848,
JMH1847,43.0,41.0,44.0,16.0,31.0,-15.7454468085,-19.7157531915,26,17,-17.424,-18.8336,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.812,-20.9068,
STC2042,40.0,37.0,33.0,31.0,32.0,-16.4444761905,-20.3548857143,20,14,-17.424,-20.9136,-14.9578338462,-19.7247212308,-15.972,-19.9508,-22.264,-14.5896,
SPM1684,10.0,30.0,26.0,30.0,34.0,-14.9539310345,-19.3086068966,32,25,-16.94,-18.686,-14.8882043011,-19.4707172043,-16.456,-19.0584,-9.68,-13.872,
TBD2008,43.0,44.0,36.0,47.0,26.0,-14.6813333333,-21.8105333333,18,27,-15.972,-23.0708,-14.9218758837,-19.382605813,-15.972,-18.9108,-18.876,-10.9564,
NHS3981,37.0,42.0,16.0,22.0,27.0,-13.9172830189,-19.7166490566,24,27,-14.52,-21.068,-15.0351142857,-20.0305742857,-16.456,-20.6184,-12.1,-22.41,
FAJ0523,40.0,42.0,31.0,40.0,27.0,-14.2899016393,-18.8666819672,36,33,-14.52,-16.908,-14.9218758837,-19.382605813,-15.972,-18.9108,-7.26,-23.534,
JPS2432,43.0,22.0,37.0,40.0,40.0,-15.4370526316,-19.2129263158,10,9,-17.424,-19.8736,-15.3290048309,-19.4859207729,-16.94,-19.206,-8.712,-23.4568,
NUK1513,46.0,16.0,20.0,21.0,28.0,-16.104,-20.2179636364,29,20,-17.424,-19.8736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-19.844,-15.9316,
KNH0316,19.0,30.0,41.0,16.0,20.0,0,0,0,0,0,0,-15.4396,-19.84044,-16.94,-20.246,-23.232,-23.2048,
AAS2987,16.0,20.0,30.0,14.0,32.0,-13.9553333333,-20.5664666667,24,31,-13.552,-22.5928,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-25.748,
LCP0572,14.0,19.0,15.0,24.0,29.0,-15.9800666667,-20.94126,26,21,-17.424,-21.9536,-14.9218758837,-19.382605813,-15.972,-18.9108,-20.328,-31.6792,
CBW2427,45.0,21.0,18.0,20.0,29.0,-15.4625263158,-19.7680631579,9,9,-17.424,-20.9136,-15.3290048309,-19.4859207729,-16.94,-19.206,-8.712,-23.4568,
ZSW2155,30.0,34.0,43.0,34.0,29.0,-16.5150243902,-19.1398146341,25,15,-18.392,-17.5688,-15.0351142857,-20.0305742857,-16.456,-20.6184,-9.196,-12.1644,
DTC2566,40.0,44.0,39.0,15.0,30.0,-14.9609777778,-19.9313688889,22,18,-16.456,-21.1384,-14.9578338462,-19.7247212308,-15.972,-19.9508,-7.744,-13.2816,
MAB1775,35.0,41.0,45.0,23.0,33.0,-14.2296,-19.00344,10,11,-12.584,-17.6176,-15.3290048309,-19.4859207729,-16.94,-19.206,-13.552,-14.5328,
WPR1884,21.0,36.0,20.0,22.0,23.0,-14.7492631579,-22.0593192982,17,27,-15.972,-23.5908,-14.9218758837,-19.382605813,-15.972,-18.9108,-10.648,-26.6472,
AKK2125,29.0,47.0,50.0,22.0,33.0,-15.1913548387,-19.1004774194,35,28,-16.456,-18.7984,-14.9218758837,-19.382605813,-15.972,-18.9108,-24.2,-29.22,
BHK2196,21.0,22.0,22.0,17.0,32.0,-14.8265333333,-20.7108133333,27,32,-14.762,-21.9218,-15.0351142857,-20.0305742857,-16.456,-20.6184,-18.392,-20.6888,
SLC1588,50.0,15.0,41.0,21.0,27.0,-14.4789830508,-20.112440678,28,28,-15.972,-20.4708,-15.4025108696,-20.250498913,-16.94,-20.766,-20.328,-18.1592,
BBA1230,30.0,37.0,24.0,21.0,26.0,-14.7458666667,-19.99288,24,23,-15.004,-19.1356,-15.1798119658,-19.8936598291,-16.456,-20.6184,-22.264,-28.6296,
KBP2753,32.0,18.0,21.0,11.0,33.0,-15.1757419355,-18.3241032258,38,28,-16.94,-17.646,-14.9218758837,-19.382605813,-15.972,-18.9108,-4.84,-8.756,
GLM3450,20.0,41.0,41.0,42.0,29.0,-15.1270508475,-19.3405830508,33,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-27.308,
BNH2692,43.0,37.0,15.0,40.0,25.0,-15.9182222222,-19.2988444444,26,17,-18.392,-18.6088,-15.1798119658,-19.8936598291,-16.456,-20.6184,-20.328,-16.5992,
MHS1125,17.0,21.0,40.0,30.0,39.0,-14.7156595745,-19.4791574468,21,23,-15.972,-20.4708,-14.9218758837,-19.382605813,-15.972,-18.9108,-13.552,-14.5328,
QSB1577,34.0,39.0,37.0,10.0,30.0,-15.9016,-20.26024,29,21,-17.424,-19.8736,-15.0351142857,-20.0305742857,-16.456,-20.6184,-21.296,-24.6944,
ARZ3464,42.0,36.0,49.0,10.0,33.0,-15.1680677966,-19.6351254237,32,26,-16.456,-18.5384,-14.8882043011,-19.4707172043,-16.456,-19.0584,-14.52,-27.308,
OXS0363,15.0,27.0,23.0,20.0,30.0,0,0,0,0,0,0,-14.883,-18.4487,-14.52,-16.648,-15.972,-11.6308,
IAA3012,39.0,40.0,19.0,19.0,23.0,-14.1124210526,-19.7668631579,29,30,-12.584,-18.9176,-15.0351142857,-20.0305742857,-16.456,-20.6184,-22.264,-30.1896,
CWC0490,48.0,43.0,32.0,26.0,30.0,-15.3481777778,-20.4770044444,22,19,-16.94,-21.806,-15.1798119658,-19.8936598291,-16.456,-20.6184,-6.776,-12.4664,
